window,trial,session,subject,app,group,cohort,rater
CS3,2,RT,m,0,RET,summer15,KT
CS3,3,RT,m,0,RET,summer15,KT
CS3,4,RT,m,1,RET,summer15,KT
CS4,1,RT,m,1,RET,summer15,KT
CS4,2,RT,m,0,RET,summer15,KT
CS4,3,RT,m,0,RET,summer15,KT
CS4,4,RT,m,1,RET,summer15,KT
preCS,1,LTMT,n,0,NORET,summer15,KT
preCS,2,LTMT,n,0,NORET,summer15,KT
preCS,3,LTMT,n,0,NORET,summer15,KT
preCS,4,LTMT,n,0,NORET,summer15,KT
CS1,1,LTMT,n,0,NORET,summer15,KT
CS1,2,LTMT,n,0,NORET,summer15,KT
CS1,3,LTMT,n,0,NORET,summer15,KT
CS1,4,LTMT,n,0,NORET,summer15,KT
CS2,1,LTMT,n,1,NORET,summer15,KT
CS2,2,LTMT,n,0,NORET,summer15,KT
CS2,3,LTMT,n,0,NORET,summer15,KT
CS2,4,LTMT,n,0,NORET,summer15,KT
CS3,1,LTMT,n,0,NORET,summer15,KT
CS3,2,LTMT,n,0,NORET,summer15,KT
CS3,3,LTMT,n,0,NORET,summer15,KT
CS3,4,LTMT,n,0,NORET,summer15,KT
CS4,1,LTMT,n,0,NORET,summer15,KT
CS4,2,LTMT,n,0,NORET,summer15,KT
CS4,3,LTMT,n,0,NORET,summer15,KT
CS4,4,LTMT,n,0,NORET,summer15,KT
preCS,1,RT,n,0,NORET,summer15,KT
preCS,2,RT,n,0,NORET,summer15,KT
preCS,3,RT,n,0,NORET,summer15,KT
preCS,4,RT,n,0,NORET,summer15,KT
CS1,1,RT,n,0,NORET,summer15,KT
CS1,2,RT,n,1,NORET,summer15,KT
CS1,3,RT,n,0,NORET,summer15,KT
CS1,4,RT,n,0,NORET,summer15,KT
CS2,1,RT,n,0,NORET,summer15,KT
CS2,2,RT,n,2,NORET,summer15,KT
CS2,3,RT,n,0,NORET,summer15,KT
CS2,4,RT,n,1,NORET,summer15,KT
CS3,1,RT,n,1,NORET,summer15,KT
CS3,2,RT,n,1,NORET,summer15,KT
CS3,3,RT,n,0,NORET,summer15,KT
CS3,4,RT,n,0,NORET,summer15,KT
CS4,1,RT,n,1,NORET,summer15,KT
CS4,2,RT,n,1,NORET,summer15,KT
CS4,3,RT,n,1,NORET,summer15,KT
CS4,4,RT,n,0,NORET,summer15,KT
preCS,1,LTMT,p,0,NORET,summer15,KT
preCS,2,LTMT,p,0,NORET,summer15,KT
preCS,3,LTMT,p,0,NORET,summer15,KT
preCS,4,LTMT,p,0,NORET,summer15,KT
CS1,1,LTMT,p,0,NORET,summer15,KT
CS1,2,LTMT,p,0,NORET,summer15,KT
CS1,3,LTMT,p,0,NORET,summer15,KT
CS1,4,LTMT,p,0,NORET,summer15,KT
CS2,1,LTMT,p,0,NORET,summer15,KT
CS2,2,LTMT,p,0,NORET,summer15,KT
CS2,3,LTMT,p,0,NORET,summer15,KT
CS2,4,LTMT,p,0,NORET,summer15,KT
CS3,1,LTMT,p,0,NORET,summer15,KT
CS3,2,LTMT,p,0,NORET,summer15,KT
CS3,3,LTMT,p,0,NORET,summer15,KT
CS3,4,LTMT,p,0,NORET,summer15,KT
CS4,1,LTMT,p,2,NORET,summer15,KT
CS4,2,LTMT,p,0,NORET,summer15,KT
CS4,3,LTMT,p,0,NORET,summer15,KT
CS4,4,LTMT,p,0,NORET,summer15,KT
preCS,1,RT,p,0,NORET,summer15,KT
preCS,2,RT,p,0,NORET,summer15,KT
preCS,3,RT,p,0,NORET,summer15,KT
preCS,4,RT,p,0,NORET,summer15,KT
CS1,1,RT,p,3,NORET,summer15,KT
CS1,2,RT,p,3,NORET,summer15,KT
CS1,3,RT,p,0,NORET,summer15,KT
CS1,4,RT,p,0,NORET,summer15,KT
CS2,1,RT,p,2,NORET,summer15,KT
CS2,2,RT,p,3,NORET,summer15,KT
CS2,3,RT,p,0,NORET,summer15,KT
CS2,4,RT,p,0,NORET,summer15,KT
CS3,1,RT,p,0,NORET,summer15,KT
CS3,2,RT,p,0,NORET,summer15,KT
CS3,3,RT,p,0,NORET,summer15,KT
CS3,4,RT,p,0,NORET,summer15,KT
CS4,1,RT,p,0,NORET,summer15,KT
CS4,2,RT,p,0,NORET,summer15,KT
CS4,3,RT,p,0,NORET,summer15,KT
CS4,4,RT,p,0,NORET,summer15,KT
preCS,1,LTMT,aa,0,NORET,winter15,KT
preCS,2,LTMT,aa,0,NORET,winter15,KT
preCS,3,LTMT,aa,0,NORET,winter15,KT
preCS,4,LTMT,aa,0,NORET,winter15,KT
CS1,1,LTMT,aa,0,NORET,winter15,KT
CS1,2,LTMT,aa,0,NORET,winter15,KT
