window,trial,session,subject,con,group,cohort,rater
CS4,2,RT,m,0,RET,summer15,KT
CS4,3,RT,m,2,RET,summer15,KT
CS4,4,RT,m,0,RET,summer15,KT
CS3,1,LTMT,n,2,NORET,summer15,KT
CS3,2,LTMT,n,0,NORET,summer15,KT
CS3,3,LTMT,n,0,NORET,summer15,KT
CS3,4,LTMT,n,0,NORET,summer15,KT
CS4,1,LTMT,n,0,NORET,summer15,KT
CS4,2,LTMT,n,0,NORET,summer15,KT
CS4,3,LTMT,n,0,NORET,summer15,KT
CS4,4,LTMT,n,0,NORET,summer15,KT
CS3,1,RT,n,2,NORET,summer15,KT
CS3,2,RT,n,3,NORET,summer15,KT
CS3,3,RT,n,0,NORET,summer15,KT
CS3,4,RT,n,1,NORET,summer15,KT
CS4,1,RT,n,0,NORET,summer15,KT
CS4,2,RT,n,2,NORET,summer15,KT
CS4,3,RT,n,0,NORET,summer15,KT
CS4,4,RT,n,0,NORET,summer15,KT
CS3,1,LTMT,p,0,NORET,summer15,KT
CS3,2,LTMT,p,0,NORET,summer15,KT
CS3,3,LTMT,p,0,NORET,summer15,KT
CS3,4,LTMT,p,0,NORET,summer15,KT
CS4,1,LTMT,p,0,NORET,summer15,KT
CS4,2,LTMT,p,0,NORET,summer15,KT
CS4,3,LTMT,p,0,NORET,summer15,KT
CS4,4,LTMT,p,0,NORET,summer15,KT
CS3,1,RT,p,0,NORET,summer15,KT
CS3,2,RT,p,0,NORET,summer15,KT
CS3,3,RT,p,0,NORET,summer15,KT
CS3,4,RT,p,0,NORET,summer15,KT
CS4,1,RT,p,0,NORET,summer15,KT
CS4,2,RT,p,0,NORET,summer15,KT
CS4,3,RT,p,2,NORET,summer15,KT
CS4,4,RT,p,2,NORET,summer15,KT
CS3,1,E14,a,0,RET,summer15,SL
CS3,2,E14,a,0,RET,summer15,SL
CS3,3,E14,a,2,RET,summer15,SL
CS3,4,E14,a,0,RET,summer15,SL
CS3,5,E14,a,0,RET,summer15,SL
CS3,6,E14,a,0,RET,summer15,SL
