window,trial,session,subject,app,cohort,group,rater
CS2,5,2,b,0,summer15,RET,SL
CS2,6,2,b,0,summer15,RET,SL
CS2,7,2,b,0,summer15,RET,SL
CS2,8,2,b,0,summer15,RET,SL
preCS,1,3,b,1,summer15,RET,SL
preCS,2,3,b,0,summer15,RET,SL
preCS,3,3,b,0,summer15,RET,SL
preCS,4,3,b,0,summer15,RET,SL
preCS,5,3,b,0,summer15,RET,SL
preCS,6,3,b,0,summer15,RET,SL
preCS,7,3,b,0,summer15,RET,SL
preCS,8,3,b,0,summer15,RET,SL
CS1,1,3,b,0,summer15,RET,SL
CS1,2,3,b,0,summer15,RET,SL
CS1,3,3,b,0,summer15,RET,SL
CS1,4,3,b,0,summer15,RET,SL
CS1,5,3,b,0,summer15,RET,SL
CS1,6,3,b,2,summer15,RET,SL
CS1,7,3,b,0,summer15,RET,SL
CS1,8,3,b,0,summer15,RET,SL
CS2,1,3,b,0,summer15,RET,SL
CS2,2,3,b,0,summer15,RET,SL
CS2,3,3,b,0,summer15,RET,SL
CS2,4,3,b,0,summer15,RET,SL
CS2,5,3,b,0,summer15,RET,SL
CS2,6,3,b,4,summer15,RET,SL
CS2,7,3,b,4,summer15,RET,SL
CS2,8,3,b,0,summer15,RET,SL
preCS,1,4,b,3,summer15,RET,SL
preCS,2,4,b,0,summer15,RET,SL
preCS,3,4,b,0,summer15,RET,SL
preCS,4,4,b,0,summer15,RET,SL
preCS,5,4,b,0,summer15,RET,SL
preCS,6,4,b,0,summer15,RET,SL
preCS,7,4,b,0,summer15,RET,SL
preCS,8,4,b,0,summer15,RET,SL
CS1,1,4,b,1,summer15,RET,SL
CS1,2,4,b,0,summer15,RET,SL
CS1,3,4,b,2,summer15,RET,SL
CS1,4,4,b,1,summer15,RET,SL
CS1,5,4,b,0,summer15,RET,SL
CS1,6,4,b,0,summer15,RET,SL
CS1,7,4,b,3,summer15,RET,SL
CS1,8,4,b,3,summer15,RET,SL
CS2,1,4,b,0,summer15,RET,SL
CS2,2,4,b,0,summer15,RET,SL
CS2,3,4,b,4,summer15,RET,SL
CS2,4,4,b,1,summer15,RET,SL
CS2,5,4,b,4,summer15,RET,SL
CS2,6,4,b,1,summer15,RET,SL
CS2,7,4,b,3,summer15,RET,SL
CS2,8,4,b,1,summer15,RET,SL
preCS,1,5,b,0,summer15,RET,SL
preCS,2,5,b,0,summer15,RET,SL
preCS,3,5,b,0,summer15,RET,SL
preCS,4,5,b,0,summer15,RET,SL
preCS,5,5,b,0,summer15,RET,SL
preCS,6,5,b,0,summer15,RET,SL
preCS,7,5,b,0,summer15,RET,SL
preCS,8,5,b,0,summer15,RET,SL
CS1,1,5,b,3,summer15,RET,SL
CS1,2,5,b,1,summer15,RET,SL
CS1,3,5,b,0,summer15,RET,SL
CS1,4,5,b,0,summer15,RET,SL
CS1,5,5,b,1,summer15,RET,SL
CS1,6,5,b,0,summer15,RET,SL
CS1,7,5,b,3,summer15,RET,SL
CS1,8,5,b,0,summer15,RET,SL
CS2,1,5,b,2,summer15,RET,SL
CS2,2,5,b,1,summer15,RET,SL
CS2,3,5,b,3,summer15,RET,SL
CS2,4,5,b,0,summer15,RET,SL
CS2,5,5,b,1,summer15,RET,SL
CS2,6,5,b,1,summer15,RET,SL
CS2,7,5,b,1,summer15,RET,SL
CS2,8,5,b,0,summer15,RET,SL
preCS,1,6,b,0,summer15,RET,SL
preCS,2,6,b,4,summer15,RET,SL
preCS,3,6,b,0,summer15,RET,SL
preCS,4,6,b,1,summer15,RET,SL
preCS,5,6,b,0,summer15,RET,SL
preCS,6,6,b,0,summer15,RET,SL
preCS,7,6,b,0,summer15,RET,SL
preCS,8,6,b,0,summer15,RET,SL
CS1,1,6,b,0,summer15,RET,SL
CS1,2,6,b,2,summer15,RET,SL
CS1,3,6,b,0,summer15,RET,SL
CS1,4,6,b,1,summer15,RET,SL
CS1,5,6,b,0,summer15,RET,SL
CS1,6,6,b,0,summer15,RET,SL
CS1,7,6,b,0,summer15,RET,SL
CS1,8,6,b,0,summer15,RET,SL
CS2,1,6,b,2,summer15,RET,SL
CS2,2,6,b,2,summer15,RET,SL
CS2,3,6,b,1,summer15,RET,SL
CS2,4,6,b,1,summer15,RET,SL
CS2,5,6,b,0,summer15,RET,SL
CS2,6,6,b,0,summer15,RET,SL
CS2,7,6,b,0,summer15,RET,SL
CS2,8,6,b,0,summer15,RET,SL
preCS,1,7,b,0,summer15,RET,SL
preCS,2,7,b,0,summer15,RET,SL
preCS,3,7,b,0,summer15,RET,SL
preCS,4,7,b,0,summer15,RET,SL
preCS,5,7,b,0,summer15,RET,SL
preCS,6,7,b,0,summer15,RET,SL
preCS,7,7,b,0,summer15,RET,SL
preCS,8,7,b,0,summer15,RET,SL
CS1,1,7,b,1,summer15,RET,SL
CS1,2,7,b,2,summer15,RET,SL
CS1,3,7,b,2,summer15,RET,SL
CS1,4,7,b,2,summer15,RET,SL
CS1,5,7,b,2,summer15,RET,SL
CS1,6,7,b,2,summer15,RET,SL
CS1,7,7,b,0,summer15,RET,SL
CS1,8,7,b,0,summer15,RET,SL
CS2,1,7,b,2,summer15,RET,SL
CS2,2,7,b,0,summer15,RET,SL
CS2,3,7,b,2,summer15,RET,SL
CS2,4,7,b,0,summer15,RET,SL
CS2,5,7,b,4,summer15,RET,SL
CS2,6,7,b,3,summer15,RET,SL
CS2,7,7,b,3,summer15,RET,SL
CS2,8,7,b,0,summer15,RET,SL
preCS,1,8,b,0,summer15,RET,SL
preCS,2,8,b,2,summer15,RET,SL
preCS,3,8,b,0,summer15,RET,SL
preCS,4,8,b,0,summer15,RET,SL
preCS,5,8,b,0,summer15,RET,SL
preCS,6,8,b,0,summer15,RET,SL
preCS,7,8,b,3,summer15,RET,SL
preCS,8,8,b,0,summer15,RET,SL
CS1,1,8,b,2,summer15,RET,SL
CS1,2,8,b,2,summer15,RET,SL
CS1,3,8,b,1,summer15,RET,SL
CS1,4,8,b,0,summer15,RET,SL
CS1,5,8,b,0,summer15,RET,SL
CS1,6,8,b,0,summer15,RET,SL
CS1,7,8,b,2,summer15,RET,SL
CS1,8,8,b,4,summer15,RET,SL
CS2,1,8,b,2,summer15,RET,SL
CS2,2,8,b,1,summer15,RET,SL
CS2,3,8,b,3,summer15,RET,SL
CS2,4,8,b,2,summer15,RET,SL
CS2,5,8,b,3,summer15,RET,SL
CS2,6,8,b,1,summer15,RET,SL
CS2,7,8,b,3,summer15,RET,SL
CS2,8,8,b,2,summer15,RET,SL
preCS,1,9,b,0,summer15,RET,SL
preCS,2,9,b,0,summer15,RET,SL
preCS,3,9,b,0,summer15,RET,SL
preCS,4,9,b,0,summer15,RET,SL
preCS,5,9,b,0,summer15,RET,SL
preCS,6,9,b,0,summer15,RET,SL
preCS,7,9,b,0,summer15,RET,SL
preCS,8,9,b,0,summer15,RET,SL
CS1,1,9,b,2,summer15,RET,SL
CS1,2,9,b,2,summer15,RET,SL
CS1,3,9,b,0,summer15,RET,SL
CS1,4,9,b,3,summer15,RET,SL
CS1,5,9,b,2,summer15,RET,SL
CS1,6,9,b,0,summer15,RET,SL
CS1,7,9,b,3,summer15,RET,SL
CS1,8,9,b,0,summer15,RET,SL
CS2,1,9,b,4,summer15,RET,SL
CS2,2,9,b,2,summer15,RET,SL
CS2,3,9,b,0,summer15,RET,SL
CS2,4,9,b,4,summer15,RET,SL
CS2,5,9,b,3,summer15,RET,SL
CS2,6,9,b,1,summer15,RET,SL
CS2,7,9,b,4,summer15,RET,SL
CS2,8,9,b,0,summer15,RET,SL
preCS,1,10,b,0,summer15,RET,SL
